,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,species
92,5.8,2.7,5.1,1.9,Iris-virginica
93,5.1,3.4,1.5,0.2,Iris-setosa
94,6.6,2.9,4.6,1.3,Iris-versicolor
95,5.6,3.0,4.1,1.3,Iris-versicolor
96,5.9,3.2,4.8,1.8,Iris-versicolor
97,6.3,2.3,4.4,1.3,Iris-versicolor
98,5.5,3.5,1.3,0.2,Iris-setosa
99,5.1,3.7,1.5,0.4,Iris-setosa
100,4.9,3.1,1.5,0.1,Iris-setosa
101,6.3,2.9,5.6,1.8,Iris-virginica
102,5.8,2.7,4.1,1.0,Iris-versicolor
103,7.7,3.8,6.7,2.2,Iris-virginica
104,4.6,3.2,1.4,0.2,Iris-setosa
